,trackName,artistName,trackID,trackURI,duration (min),popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1576,Bass,A$AP Rocky,3tynJ5xl3ZjRj2fPQF0kNi,spotify:track:3tynJ5xl3ZjRj2fPQF0kNi,3.26,54,0.541,0.584,11,-7.528,0.259,0.0454,0.00214,0.117,0.287,74.925
1577,Goldie,A$AP Rocky,31G9RaSaDOI2NWcpnIp734,spotify:track:31G9RaSaDOI2NWcpnIp734,3.2,66,0.697,0.849,10,-4.953,0.248,0.228,4.52e-05,0.493,0.734,81.956
1578,Canal St. (feat. Bones),A$AP Rocky,0rBMP6VVGRgwnzZCLpijyl,spotify:track:0rBMP6VVGRgwnzZCLpijyl,3.79,65,0.696,0.583,3,-9.351,0.301,0.308,0.0,0.0964,0.524,137.079
1579,Hell Of A Night,ScHoolboy Q,5DOR49R0fehoBmyNL8m4sN,spotify:track:5DOR49R0fehoBmyNL8m4sN,4.54,60,0.652,0.836,2,-7.179,0.153,0.377,0.0,0.138,0.162,123.946
1580,Man Of The Year,ScHoolboy Q,5SsR3wtCOafDmZgvIdRhSm,spotify:track:5SsR3wtCOafDmZgvIdRhSm,3.6,72,0.749,0.865,3,-5.228,0.0413,0.00536,0.0,0.198,0.371,111.914
1581,A-Team,Travis Scott,5cgEadiGKjtTP1Q6NJqVP5,spotify:track:5cgEadiGKjtTP1Q6NJqVP5,2.94,61,0.626,0.526,7,-4.112,0.0452,0.0485,0.00627,0.107,0.17,127.977
1582,through the late night,Travis Scott,1Ci4wASMY4xtKVMeHA6Sd5,spotify:track:1Ci4wASMY4xtKVMeHA6Sd5,4.77,68,0.744,0.589,5,-1.218,0.0359,0.36,0.0,0.119,0.242,127.051
1583,Mamacita (feat. Rich Homie Quan & Young Thug),Travis Scott,3SEd8nPd8MpGwk6ZZ8tk2j,spotify:track:3SEd8nPd8MpGwk6ZZ8tk2j,4.57,66,0.823,0.768,11,-6.21,0.0819,0.0146,1.03e-06,0.127,0.216,115.021
1584,Let Me Know (I Wonder Why Freestyle),Juice WRLD,3wwo0bJvDSorOpNfzEkfXx,spotify:track:3wwo0bJvDSorOpNfzEkfXx,3.59,79,0.635,0.537,7,-7.895,0.0832,0.172,0.0,0.418,0.383,125.028
1585,End Of The Road,Juice WRLD,24BNgrtp6Fag4M5BQPEgsV,spotify:track:24BNgrtp6Fag4M5BQPEgsV,2.72,69,0.373,0.717,1,-5.833,0.083,0.0568,0.0,0.114,0.293,109.977
1586,Used To,Juice WRLD,0WZFN4E8HrmGUU0EMyKQ8c,spotify:track:0WZFN4E8HrmGUU0EMyKQ8c,2.94,73,0.631,0.709,2,-4.666,0.0505,0.0963,0.0,0.376,0.2,84.504
1587,Check,Young Thug,1jk9c0gZI0wbn5GvAj7PBV,spotify:track:1jk9c0gZI0wbn5GvAj7PBV,3.84,65,0.667,0.581,0,-5.164,0.323,0.0428,0.0,0.183,0.368,110.953
1588,Amazing (feat. Jacquees),Young Thug,5mzmXn6NdCU9Gm6Q0rcBWT,spotify:track:5mzmXn6NdCU9Gm6Q0rcBWT,3.63,40,0.595,0.503,10,-8.691,0.609,0.461,0.0,0.0997,0.78,95.068
1589,Sky Fall,Travis Scott,7p7pzSVr2zovan3m1m5hFm,spotify:track:7p7pzSVr2zovan3m1m5hFm,5.3,55,0.652,0.69,11,-7.1,0.0574,0.213,0.0,0.257,0.249,98.451
1590,Uber Everywhere (feat. Travis Scott),MadeinTYO,3eQOySUDt0jzzUJ5B1N8OY,spotify:track:3eQOySUDt0jzzUJ5B1N8OY,3.02,19,0.774,0.663,1,-7.283,0.12,0.0221,0.0,0.292,0.124,140.043
1591,Slayerr,Tm88,5X2I1TVUkchLBggRTCMYem,spotify:track:5X2I1TVUkchLBggRTCMYem,3.42,61,0.709,0.676,9,-7.369,0.329,0.162,0.0,0.349,0.68,144.067
1592,Dark Knight Dummo,Trippie Redd,4apiNNK0jp9uqn3JDG9My1,spotify:track:4apiNNK0jp9uqn3JDG9My1,4.27,73,0.28,0.821,8,-2.864,0.111,0.167,0.0,0.139,0.254,181.444
1593,On My Vibe (Feat. Travi$ Scott),Lil Duke,5CRkUL8PwtIbYCUjXUkZCh,spotify:track:5CRkUL8PwtIbYCUjXUkZCh,3.89,60,0.798,0.511,10,-7.153,0.0411,0.763,4.03e-05,0.359,0.696,112.036
1594,Low Life (feat. The Weeknd),Future,7EiZI6JVHllARrX9PUvAdX,spotify:track:7EiZI6JVHllARrX9PUvAdX,5.23,75,0.722,0.331,8,-7.789,0.0726,0.337,0.282,0.146,0.102,143.961
1595,Plastic Bag,Drake,76kyKtPLsFbQkdQ86QrkF4,spotify:track:76kyKtPLsFbQkdQ86QrkF4,3.37,58,0.845,0.479,1,-6.065,0.298,0.0104,1.79e-06,0.157,0.35,170.919
1596,Just What I Am,Kid Cudi,20bJBbPapGQ4bqs0YcA9xY,spotify:track:20bJBbPapGQ4bqs0YcA9xY,3.8,69,0.654,0.95,1,-3.163,0.137,0.00223,0.0,0.406,0.351,140.009
1597,Kyoto,Yung Lean,2djY65hifu2a4R2WqcXqKL,spotify:track:2djY65hifu2a4R2WqcXqKL,4.5,9,0.623,0.716,11,-7.449,0.207,0.22,2.54e-06,0.113,0.203,116.914
1598,Good Morning,Kanye West,6MXXY2eiWkpDCezVCc0cMH,spotify:track:6MXXY2eiWkpDCezVCc0cMH,3.25,73,0.48,0.631,7,-5.488,0.116,0.0791,0.000105,0.149,0.515,84.164
1599,Heartless,Kanye West,4EWCNWgDS8707fNSZ1oaA5,spotify:track:4EWCNWgDS8707fNSZ1oaA5,3.52,86,0.79,0.647,10,-5.983,0.136,0.0515,0.0,0.248,0.654,87.999
1600,Frank's Track,Kanye West,20r94xA0bsYNLtYSiOE6r3,spotify:track:20r94xA0bsYNLtYSiOE6r3,0.64,59,0.655,0.179,11,-6.903,0.0722,0.976,0.0,0.105,0.758,140.687
1601,Wolves,Kanye West,432hUIl3ISDeytYW5XBQ5h,spotify:track:432hUIl3ISDeytYW5XBQ5h,5.03,70,0.395,0.392,1,-8.034,0.0925,0.219,0.00173,0.134,0.103,155.856
1602,Long Time II,Chance the Rapper,2O3J8eobOKVlEfh1FxDqS5,spotify:track:2O3J8eobOKVlEfh1FxDqS5,3.96,34,0.608,0.724,1,-6.144,0.0916,0.025,0.0,0.125,0.288,133.672
